[90m[Sep 25 16:32:25][0m [32m INFO[0m[39m [localhost][0m [39mValidating config...[0m
[90m[Sep 25 16:32:25][0m [32m INFO[0m[39m [localhost][0m [39mLoaded: /vuls/results/2019-09-25T16:30:47-04:00[0m
[90m[Sep 25 16:32:25][0m [32m INFO[0m[39m [localhost][0m [39mValidating db config...[0m
[36mINFO[0m[0000] -cvedb-type: sqlite3, -cvedb-url: , -cvedb-path: /vuls/cve.sqlite3 
[36mINFO[0m[0000] -ovaldb-type: sqlite3, -ovaldb-url: , -ovaldb-path: /vuls/oval.sqlite3 
[36mINFO[0m[0000] -gostdb-type: sqlite3, -gostdb-url: , -gostdb-path: /vuls/gost.sqlite3 
[36mINFO[0m[0000] -exploitdb-type: sqlite3, -exploitdb-url: , -exploitdb-path: /vuls/go-exploitdb.sqlite3 
[32mINFO[0m[09-25|16:32:25] Opening DB.                              [32mdb[0m=sqlite3
[32mINFO[0m[09-25|16:32:25] Migrating DB.                            [32mdb[0m=sqlite3
[32mINFO[0m[09-25|16:32:25] Opening Database.                        [32mdb[0m=sqlite3
[32mINFO[0m[09-25|16:32:25] Migrating DB.                            [32mdb[0m=sqlite3
bids-baracus@host (ubuntu14.04) on host
=======================================
Total: 216 (High:58 Medium:139 Low:19 ?:0), 0/216 Fixed, 218 installed, 7 exploits, en: 0, ja: 0 alerts

+------------------+---------+------+------+----+------+---------------------------------------------------+
|      CVE-ID      |  FIXED  | CERT | CVSS | AV | POC  |                        NVD                        |
| CVE-2016-9840    | unfixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-9840    |
| CVE-2016-9842    | unfixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-9842    |
| CVE-2017-16544   | unknown |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-16544   |
| CVE-2017-17512   | unknown |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-17512   |
| CVE-2017-6458    | unknown |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-6458    |
| CVE-2017-6891    | unknown |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-6891    |
| CVE-2019-6129    | unfixed |      |  8.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2019-6129    |
| CVE-2016-7543    | unknown |      |  8.4 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2016-7543    |
| CVE-2017-1000368 | unfixed |      |  8.2 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-1000368 |
| CVE-2015-8982    | unknown |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2015-8982    |
| CVE-2015-8983    | unknown |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2015-8983    |
| CVE-2016-7098    | unknown |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-7098    |
| CVE-2016-9586    | unknown |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-9586    |
| CVE-2017-11103   | unknown |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-11103   |
| CVE-2018-1000500 | unfixed |      |  8.1 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000500 |
| CVE-2014-9114    | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2014-9114    |
| CVE-2016-6185    | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2016-6185    |
| CVE-2016-6252    | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2016-6252    |
| CVE-2016-7076    | unfixed |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2016-7076    |
| CVE-2017-1000366 | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-1000366 |
| CVE-2017-1000408 | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-1000408 |
| CVE-2017-10140   | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-10140   |
| CVE-2017-11109   | unfixed |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-11109   |
| CVE-2017-16879   | unfixed |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-16879   |
| CVE-2017-3144    | unknown |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-3144    |
| CVE-2017-6462    | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-6462    |
| CVE-2017-6964    | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2017-6964    |
| CVE-2017-7245    | unfixed |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-7245    |
| CVE-2017-7246    | unfixed |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-7246    |
| CVE-2018-1000001 | unknown |      |  7.8 |  L |    Y | https://nvd.nist.gov/vuln/detail/CVE-2018-1000001 |
| CVE-2018-1000035 | unfixed |      |  7.8 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1000035 |
| CVE-2018-1124    | unknown |      |  7.8 |  L |      | https://nvd.nist.gov/vuln/detail/CVE-2018-1124    |
| CVE-2011-5325    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2011-5325    |
| CVE-2014-9653    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2014-9653    |
| CVE-2015-5180    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2015-5180    |
| CVE-2015-8270    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2015-8270    |
| CVE-2015-8630    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2015-8630    |
| CVE-2015-8853    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2015-8853    |
| CVE-2015-8865    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2015-8865    |
| CVE-2016-0634    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-0634    |
| CVE-2016-10087   | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-10087   |
| CVE-2016-1234    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-1234    |
| CVE-2016-2086    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-2086    |
| CVE-2016-2147    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-2147    |
| CVE-2016-2216    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-2216    |
| CVE-2016-3706    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-3706    |
| CVE-2016-6323    | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-6323    |
| CVE-2016-8625    | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2016-8625    |
| CVE-2017-1000254 | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-1000254 |
| CVE-2017-10790   | unknown |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-10790   |
| CVE-2017-11112   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-11112   |
| CVE-2017-11113   | unfixed |      |  7.5 |  N |      | https://nvd.nist.gov/vuln/detail/CVE-2017-11113   |
