Vulnerability_ID     Package    Severity
CVE-2017-9074   kernel-headers   High
CVE-2017-9075   kernel-headers   High
CVE-2017-9076   kernel-headers   High
CVE-2017-9077   kernel-headers   High
CVE-2017-9242   kernel-headers   High
CVE-2016-0728   kernel-headers   High
CVE-2016-3672   kernel-headers   High
CVE-2016-7913   kernel-headers   High
CVE-2016-8633   kernel-headers   High
CVE-2017-7294   kernel-headers   High
CVE-2017-8824   kernel-headers   High
CVE-2017-9725   kernel-headers   High
CVE-2017-12154   kernel-headers   High
CVE-2017-12190   kernel-headers   High
CVE-2017-13166   kernel-headers   High
CVE-2017-13305   kernel-headers   High
CVE-2017-14140   kernel-headers   High
CVE-2017-15116   kernel-headers   High
CVE-2017-15121   kernel-headers   High
CVE-2017-15126   kernel-headers   High
CVE-2017-15127   kernel-headers   High
CVE-2017-15129   kernel-headers   High
CVE-2017-15265   kernel-headers   High
CVE-2017-15274   kernel-headers   High
CVE-2017-17448   kernel-headers   High
CVE-2017-17449   kernel-headers   High
CVE-2017-17558   kernel-headers   High
CVE-2017-18017   kernel-headers   High
CVE-2017-18203   kernel-headers   High
CVE-2017-18270   kernel-headers   High
CVE-2017-1000252   kernel-headers   High
CVE-2017-1000407   kernel-headers   High
CVE-2017-1000410   kernel-headers   High
CVE-2018-5750   kernel-headers   High
CVE-2018-6927   kernel-headers   High
CVE-2018-1000004   kernel-headers   High
CVE-2016-8630   kernel-headers   High
CVE-2016-8655   kernel-headers   High
CVE-2016-9083   kernel-headers   High
CVE-2016-9084   kernel-headers   High
CVE-2015-8660   kernel-headers   High
CVE-2016-2143   kernel-headers   High
CVE-2016-4470   kernel-headers   High
CVE-2016-5696   kernel-headers   High
CVE-2016-3134   kernel-headers   High
CVE-2016-4997   kernel-headers   High
CVE-2016-4998   kernel-headers   High
CVE-2016-6197   kernel-headers   High
CVE-2018-14634   kernel-headers   High
CVE-2015-8539   kernel-headers   High
CVE-2017-7472   kernel-headers   High
CVE-2017-12192   kernel-headers   High
CVE-2017-12193   kernel-headers   High
CVE-2017-15649   kernel-headers   High
