Vulnerability_ID     Package    Severity
CVE-2017-15804   glibc-common   Medium
CVE-2017-2616   coreutils   Medium
CVE-2016-1248   vim-minimal   Medium
CVE-2017-2628   curl   Medium
CVE-2019-1559   openssl   Medium
CVE-2016-6136   kernel-headers   Medium
CVE-2016-9555   kernel-headers   Medium
CVE-2017-6214   kernel-headers   Medium
CVE-2017-7541   kernel-headers   Medium
CVE-2016-2069   kernel-headers   Medium
CVE-2016-2384   kernel-headers   Medium
CVE-2016-6480   kernel-headers   Medium
CVE-2016-7042   kernel-headers   Medium
CVE-2016-7097   kernel-headers   Medium
CVE-2016-8399   kernel-headers   Medium
CVE-2016-9576   kernel-headers   Medium
CVE-2016-10088   kernel-headers   Medium
CVE-2016-10142   kernel-headers   Medium
CVE-2017-5551   kernel-headers   Medium
CVE-2017-3731   openssl   Medium
CVE-2016-0634   bash   Medium
CVE-2016-7543   bash   Medium
CVE-2016-9401   bash   Medium
CVE-2016-6313   libgcrypt   Medium
CVE-2015-8870   libtiff   Medium
CVE-2016-5652   libtiff   Medium
CVE-2016-9533   libtiff   Medium
CVE-2016-9534   libtiff   Medium
CVE-2016-9535   libtiff   Medium
CVE-2016-9536   libtiff   Medium
CVE-2016-9537   libtiff   Medium
CVE-2016-9540   libtiff   Medium
CVE-2018-1050   samba-common   Low
CVE-2018-15473   openssh-clients   Low
